Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, combined, FreeMode, 1474.68, 0, 0.1671876, 0, 0, False, 0, 0,0,0,0,0
1, combined, FreeMode, 1474.7, 0, 0.1671876, 0, 0, False, 0, 0,0.003499101,0.0008812881,0.001507271,0.003910529
2, combined, FreeMode, 1474.72, 0, 0.1671876, 0, 0, False, 0, 0,0.006323838,0.00322742,0.002438429,0.00750687
3, combined, FreeMode, 1474.74, 0, 0.1671876, 0, 0, False, 0, 0,0.003094929,0.002227039,0.0006218887,0.003863293
4, combined, FreeMode, 1474.76, 0, 0.1671876, 0, 0, False, 0, 0,0.008597025,0.004775629,0.001948287,0.01002553
5, combined, FreeMode, 1474.78, 0, 0.1671876, 0, 0, False, 0, 0,0.003224004,0.004038056,0.001462597,0.005370222
6, combined, FreeMode, 1474.8, 0, 0.1671876, 0, 0, False, 0, 0,0.008567996,0.003358422,0.001603289,0.009341312
7, combined, FreeMode, 1474.82, 0, 0.1671876, 0, 0, False, 0, 0,0.00457987,0.0006907393,0.001299602,0.00481054
8, combined, FreeMode, 1474.84, 0, 0.1671876, 0, 0, False, 0, 0,0.004450356,0.0004525534,0.0007748487,0.004539919
9, combined, FreeMode, 1474.86, 0, 0.1671876, 0, 0, False, 0, 0,0.009251292,0.001333841,0.001938238,0.0095458
10, combined, FreeMode, 1474.88, 0, 0.1671876, 0, 0, False, 0, 0,0.004249386,-0.0006073742,0.0002534448,0.004300049
11, combined, FreeMode, 1474.9, 0, 0.1671876, 0, 0, False, 0, 0,0.001297369,-0.003989615,0.003807254,0.005665278
12, combined, FreeMode, 1474.92, 0, 0.1671876, 0, 0, False, 0, 0,0.004360831,0.0007189417,0.0004044047,0.00443816
13, combined, FreeMode, 1474.94, 0, 0.1671876, 0, 0, False, 0, 0,0.009302651,0.002060309,0.0002958716,0.009532666
14, combined, FreeMode, 1474.96, 0, 0.1671876, 0, 0, False, 0, 0,0.004789771,0.0008574695,-0.0005805783,0.004900432
15, combined, FreeMode, 1474.98, 0, 0.1671876, 0, 0, False, 0, 0,0.009684493,0.002179402,-0.002467458,0.01022876
16, combined, FreeMode, 1475, 0, 0.1671876, 0, 0, False, 0, 0,0.002889494,0.002631955,0.0007882467,0.003987191
17, combined, FreeMode, 1475.02, 0, 0.1671876, 0, 0, False, 0, 0,0.001165623,0.005954649,0.002356925,0.006509348
18, combined, FreeMode, 1475.04, 0, 0.1671876, 0, 0, False, 0, 0,0.005675146,0.00735717,0.0001471584,0.009292841
19, combined, FreeMode, 1475.06, 0, 0.1671876, 0, 0, False, 0, 0,0.004041718,0.001583937,-0.00223411,0.004882171
20, combined, FreeMode, 1475.08, 0, 0.1671876, 0, 0, False, 0, 0,0.00742247,0.004192073,-0.003446626,0.009194878
