Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, RaceTrack, 915.96, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0,0,0,0
1, directional, RaceTrack, 915.98, 0, 0.1671873, 0, 0, False, 0, 0.4335338,-0.001779696,0.0002143674,-0.002235227,0.002865224
2, directional, RaceTrack, 916, 0, 0.1671873, 0, 0, False, 0, 0.4335338,-0.002212896,0.003596608,-0.004093077,0.005880968
3, directional, RaceTrack, 916.02, 0, 0.1671873, 0, 0, False, 0, 0.4335338,-0.003592675,0.003798739,-0.002423488,0.0057629
4, directional, RaceTrack, 916.04, 0, 0.1671873, 0, 0, False, 0, 0.4335338,-0.008128096,0.005359184,-0.007076357,0.01203585
5, directional, RaceTrack, 916.06, 0, 0.1671873, 0, 0, False, 0, 0.4335338,-0.003688905,0.002465225,-0.003997059,0.005971753
6, directional, RaceTrack, 916.08, 0, 0.1671873, 0, 0, False, 0, 0.4335338,-0.004210866,0.001564889,-0.004838016,0.00660202
7, directional, RaceTrack, 916.1, 0, 0.1671873, 0, 0, False, 0, 0.4335338,-0.004305211,0.003346513,-0.009581775,0.01102472
8, directional, RaceTrack, 916.12, 0, 0.1671873, 0, 0, False, 0, 0.4335338,-0.001210282,0.003215511,-0.004148902,0.005386806
9, directional, RaceTrack, 916.14, 0, 0.1671873, 0, 0, False, 0, 0.4335338,-0.002963285,0.003762901,-0.005227745,0.00709012
10, directional, RaceTrack, 916.16, 0, 0.1671873, 0, 0, False, 0, 0.4335338,-0.001839987,-0.0002143674,-0.003197647,0.003695463
11, directional, RaceTrack, 916.18, 0, 0.1671873, 0, 0, False, 0, 0.4335338,-0.003782691,-0.001798304,-0.005830346,0.007178829
12, directional, RaceTrack, 916.2, 0, 0.1671873, 0, 0, False, 0, 0.4335338,-0.001740342,-0.0005614488,-0.002358533,0.002984408
13, directional, RaceTrack, 916.22, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.003876477,-0.006014196,-0.007478295,0.01035
14, directional, RaceTrack, 916.24, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.003184249,-0.004108708,-0.00392337,0.006512584
15, directional, RaceTrack, 916.26, 0, 0.1671873, 0, 0, False, 0, 0.4335338,-0.0002054354,-0.002096037,-0.002210664,0.003053294
16, directional, RaceTrack, 916.28, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.001749301,-0.001110952,-0.003182787,0.003797947
17, directional, RaceTrack, 916.3, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.00192484,0.000476372,-0.001179021,0.002306953
18, directional, RaceTrack, 916.32, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.003999291,0.0002500953,-0.002456293,0.004700027
19, directional, RaceTrack, 916.34, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.004367653,0.003619553,0.002315976,0.006127096
20, directional, RaceTrack, 916.36, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.008889548,0.008646151,0.005488698,0.01356119
21, directional, RaceTrack, 916.38, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.003115026,-7.145579E-05,-8.931974E-06,0.003115858
22, directional, RaceTrack, 916.4, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.003001362,-0.0003942087,0.0004546839,0.003061096
23, directional, RaceTrack, 916.42, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.005602581,-0.00220322,0.002987745,0.006720842
24, directional, RaceTrack, 916.44, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.003106094,-0.001321932,0.003010075,0.004522818
25, directional, RaceTrack, 916.46, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.008509085,-0.008326166,0.006905372,0.01376277
26, directional, RaceTrack, 916.48, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.005624911,-0.004954268,0.005245302,0.009148639
27, directional, RaceTrack, 916.5, 0, 0.1671873, 0, 0, False, 0, 0.4335338,0.007522955,-0.006228563,0.01302505,0.01628011
