Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, RaceTrack, 431.14, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0,0,0,0
1, torque, RaceTrack, 431.16, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.00264833,-0.006347656,0.001350961,0.007009386
2, torque, RaceTrack, 431.18, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.002520426,-0.008468512,0.002833522,0.009278852
3, torque, RaceTrack, 431.2, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.00226324,-0.002385496,0.001391042,0.003570412
4, torque, RaceTrack, 431.22, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0001898044,-0.001202839,0.003351723,0.003566076
5, torque, RaceTrack, 431.24, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.007225817,0.001836832,0.00273512,0.00794149
6, torque, RaceTrack, 431.26, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.00414629,0.00151479,0.001301586,0.004602221
7, torque, RaceTrack, 431.28, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.005122487,0.001393388,0.001391155,0.00548787
8, torque, RaceTrack, 431.3, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.009155832,0.003125,0.003616263,0.01032823
9, torque, RaceTrack, 431.32, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.001151747,0.001133111,6.709208E-05,0.001617085
10, torque, RaceTrack, 431.34, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.002914057,0.002810595,0.0008128096,0.004129386
11, torque, RaceTrack, 431.36, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.003054926,0.00132395,0.002053018,0.003911559
12, torque, RaceTrack, 431.38, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.004660258,0.006764482,0.004209193,0.009230033
13, torque, RaceTrack, 431.4, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.001265804,0.002194657,0.001364206,0.00287747
14, torque, RaceTrack, 431.42, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.002070909,0.004651717,0.001858451,0.005420422
15, torque, RaceTrack, 431.44, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.004354337,0.009777535,-4.689286E-05,0.01070339
16, torque, RaceTrack, 431.46, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.0008967975,0.01156966,-0.0002035126,0.01160615
17, torque, RaceTrack, 431.48, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.008250089,0.00899332,-0.0002258767,0.01220634
18, torque, RaceTrack, 431.5, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01846462,0.005204364,-0.005917433,0.02007595
19, torque, RaceTrack, 431.52, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0142101,0.004365458,-0.003486552,0.01526893
20, torque, RaceTrack, 431.54, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01902731,0.007395038,-0.003139909,0.02065392
21, torque, RaceTrack, 431.56, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.02020636,0.01005145,-0.00157426,0.02262315
22, torque, RaceTrack, 431.58, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.04705838,0.0001669847,-0.007478531,0.04764922
23, torque, RaceTrack, 431.6, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.02159471,-0.003053435,-0.006872465,0.02286669
24, torque, RaceTrack, 431.62, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.044872,-0.009634622,-0.005209574,0.04618942
25, torque, RaceTrack, 431.64, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.02474356,-0.00762166,-0.002963234,0.02605982
26, torque, RaceTrack, 431.66, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.04889809,-0.025998,-0.004711616,0.05557984
27, torque, RaceTrack, 431.68, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.02421129,-0.01264313,-0.001022036,0.02733277
28, torque, RaceTrack, 431.7, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0535775,-0.03318225,-0.001836087,0.06304745
29, torque, RaceTrack, 431.72, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01918811,-0.008050686,0.005120254,0.02142929
30, torque, RaceTrack, 431.74, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.04276449,-0.02466603,0.006957449,0.049856
31, torque, RaceTrack, 431.76, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.02214933,-0.01595897,0.0005076634,0.02730457
32, torque, RaceTrack, 431.78, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0201684,-0.006681117,0.004242687,0.02166569
33, torque, RaceTrack, 431.8, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0241934,-0.003757156,0.01034783,0.02658034
34, torque, RaceTrack, 431.82, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01339158,-0.003959924,0.002245348,0.01414415
35, torque, RaceTrack, 431.84, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0260903,0.002834413,0.01045041,0.02824798
36, torque, RaceTrack, 431.86, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.014597,0.009875954,0.005951067,0.01860167
37, torque, RaceTrack, 431.88, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01898045,0.004692264,0.00797402,0.02111539
38, torque, RaceTrack, 431.9, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01584491,-0.002946088,0.004504115,0.01673403
39, torque, RaceTrack, 431.92, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.008981393,-0.0006560115,0.0001051109,0.009005932
40, torque, RaceTrack, 431.94, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.02358934,-0.005740282,0.001212516,0.02430798
