Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, RaceTrack, 460.74, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0,0,0,0
1, torque, RaceTrack, 460.76, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.003817539,-0.003447042,0.0177794,0.01850845
2, torque, RaceTrack, 460.78, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.00225309,0.002369951,0.00850324,0.009110332
3, torque, RaceTrack, 460.8, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.006261928,0.00146708,0.01616472,0.01739719
4, torque, RaceTrack, 460.82, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.00652135,-0.002075382,0.008925483,0.0112472
5, torque, RaceTrack, 460.84, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.00836926,-0.001804259,0.009362942,0.01268718
6, torque, RaceTrack, 460.86, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01179926,0.005802719,0.01487208,0.01985127
7, torque, RaceTrack, 460.88, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.007661401,0.0008217416,0.009811774,0.01247571
8, torque, RaceTrack, 460.9, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01913019,-0.003846613,0.0215209,0.02905013
9, torque, RaceTrack, 460.92, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.009410783,-0.002385496,0.01154431,0.01508392
10, torque, RaceTrack, 460.94, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01593464,0.002042445,0.02946212,0.03355742
11, torque, RaceTrack, 460.96, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.005342766,-0.002785067,0.01252833,0.01390183
12, torque, RaceTrack, 460.98, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01512703,-0.01454556,0.02282473,0.03100594
13, torque, RaceTrack, 461, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01170089,-0.006526296,0.01121856,0.01747453
14, torque, RaceTrack, 461.02, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01445611,-0.01328721,0.02910454,0.03510845
15, torque, RaceTrack, 461.04, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.006834446,0.0002624046,0.01706599,0.0183855
16, torque, RaceTrack, 461.06, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.008378192,-0.0006014196,0.0153563,0.01750348
17, torque, RaceTrack, 461.08, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.02322504,-0.0003399332,0.03976995,0.04605613
18, torque, RaceTrack, 461.1, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01529029,-0.00868917,0.02265476,0.02867983
19, torque, RaceTrack, 461.12, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0407097,-0.02609327,0.05402951,0.07250743
20, torque, RaceTrack, 461.14, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.02656846,-0.02264432,0.02823458,0.04489811
